GEO.id,GEO.id2,GEO.display-label,HD01_VD01
Id,Id2,Geography,Estimate; Aggregate travel time to work (in minutes):
8600000US12159,12159,ZCTA5 12159,83125
8600000US12160,12160,ZCTA5 12160,12270
8600000US12167,12167,ZCTA5 12167,25580
8600000US12168,12168,ZCTA5 12168,32705
8600000US12173,12173,ZCTA5 12173,28605
8600000US12174,12174,ZCTA5 12174,3165
8600000US12175,12175,ZCTA5 12175,6515
8600000US12176,12176,ZCTA5 12176,4345
8600000US12177,12177,ZCTA5 12177,5425
8600000US12180,12180,ZCTA5 12180,524645
8600000US12182,12182,ZCTA5 12182,157935
8600000US12183,12183,ZCTA5 12183,22455
8600000US12184,12184,ZCTA5 12184,76240
8600000US12185,12185,ZCTA5 12185,44045
8600000US12189,12189,ZCTA5 12189,175140
8600000US12190,12190,ZCTA5 12190,11970
8600000US12192,12192,ZCTA5 12192,19170
8600000US12194,12194,ZCTA5 12194,1220
8600000US12195,12195,ZCTA5 12195,1370
8600000US12198,12198,ZCTA5 12198,98880
8600000US12203,12203,ZCTA5 12203,280415
8600000US12205,12205,ZCTA5 12205,269255
8600000US12207,12207,ZCTA5 12207,9155
8600000US12208,12208,ZCTA5 12208,203105
8600000US12211,12211,ZCTA5 12211,87370
8600000US12222,12222,ZCTA5 12222,15345
8600000US12302,12302,ZCTA5 12302,299435
8600000US12303,12303,ZCTA5 12303,310050
8600000US12305,12305,ZCTA5 12305,44060
8600000US12306,12306,ZCTA5 12306,279325
8600000US12307,12307,ZCTA5 12307,46835
8600000US12309,12309,ZCTA5 12309,287135
8600000US12401,12401,ZCTA5 12401,365880
8600000US12404,12404,ZCTA5 12404,51485
8600000US12405,12405,ZCTA5 12405,5640
8600000US12406,12406,ZCTA5 12406,6100
8600000US12407,12407,ZCTA5 12407,1950
8600000US12410,12410,ZCTA5 12410,8405
8600000US12411,12411,ZCTA5 12411,4605
8600000US12412,12412,ZCTA5 12412,9970
8600000US12413,12413,ZCTA5 12413,23455
